619	541	974	213	865	921	485	104	337	891	158	327	334	441	447	819	275	944	628	858
802	420	293	534	308	403	741	424	475	348	671	647	433	712	525	524	445	841	776	837
448	927	254	546	322	928	803	740	382	792	750	201	896	720	511	950	210	148	343	376
136	649	800	966	346	762	812	172	166	471	833	509	743	575	843	755	852	299	825	435
670	672	453	252	330	366	248	398	515	103	619	980	693	279	502	539	123	278	410	698
618	909	396	918	631	866	856	167	721	782	447	342	593	113	247	919	849	436	430	546
643	892	815	893	540	499	809	197	387	117	332	214	888	957	158	390	935	521	651	154
422	477	445	796	644	694	439	821	319	828	133	635	109	474	437	291	291	446	901	796
139	554	738	804	680	533	478	748	160	192	158	508	130	191	325	966	250	908	421	739
846	468	803	436	954	334	559	518	712	198	379	937	695	158	865	303	311	115	404	309
634	522	818	661	985	494	946	986	101	239	236	913	937	162	371	829	478	519	107	649
506	301	919	939	466	892	667	869	115	705	173	208	552	851	707	560	687	137	941	198
689	982	722	839	588	108	994	342	724	142	138	970	218	441	536	446	665	457	436	140
750	413	584	345	351	112	505	154	968	880	172	957	432	645	841	824	167	572	978	368
173	958	660	387	650	608	666	746	844	380	698	821	635	457	234	132	915	637	376	331
157	307	687	552	940	209	846	261	411	513	967	474	552	536	833	188	351	244	678	132
858	706	248	743	538	896	906	834	431	501	696	615	644	303	401	670	877	406	418	723
822	474	651	800	343	947	512	147	858	887	215	499	768	602	446	984	475	909	973	370
565	220	581	169	963	230	550	783	617	479	447	699	450	529	765	263	492	212	187	962
514	551	465	359	118	693	295	798	634	678	762	772	786	304	314	855	653	649	995	291
